Filename,Extracted Text,NSFW Label,NSFW Confidence,toxic Speech Label,toxic Speech Confidence
record50.txt,"Tetra English
Forsíða
112
Vaktstöð siglinga
Tetra
Samstarfsaðilar
Um Neyðarlínuna
Samband
En
Neydarlinan is responsible for the TETRA public safety radio network in Iceland.
The network is used by all respond units around the country including:
police
ambulance
firefighters
search and rescure teams
",non-nsfw,1.0,non-toxic,1.0
record44.txt,"Bugün ne giydirsem?: ben'cil kokular
Bugün ne giydirsem?
Vokalim, vokalsin, bok var.
26 Ekim 2010 Salı
ben'cil kokular
Colgate diş macunu.
Soft musk.
Aseton.
Yeni boyanmış duvarlar.
Yeni çekilmiş fotokopi.
Yeni alınmış henüz yıkanmamış pamuklu herhangi bişey.
Haşlanmış mısır.
Kızartma.
Limon veya li",non-nsfw,0.96,toxic,0.92
record45.txt,"FAQs
Skip to content
Menu	
Home
What is a 10 Minute Novelist?
The Facebook Group
Contact
Blog
Registration
Speakers
Schedule
Accomodations
FAQs
Sponsors
The Planning Committee
FAQs
When will this conference be held? August 9-11 2018 (Thursday-Saturday) at the Embassy Suites in Covington, KY, which i",non-nsfw,1.0,non-toxic,1.0
record47.txt,"Paolo Verzone -- A Manifesto of Disorder: 10 X Editions
10 X Editions
Paolo Verzone -- A Manifesto of Disorder
My quest for imperfection
All my work as a photographer is a chess game with imperfection, but it’s a rigged game, one where I always try to lose the chess match instead of trying to win, b",non-nsfw,1.0,non-toxic,1.0
record46.txt,"Скачать карту RMS Oxford 1907 для Майнкрафт бесплатно - Карты для Minecraft 1.12.2, 1.12, 1.11.2, 1.11, 1.8.9, 1.8, 1.7.10, 1.5.2
Главная
Рейтинг
Регистрация
Войти
Мы в социальных сетях:
Главная
Мониторинг серверов Майнкрафт
Моды
Моды для версии 1.8
Моды для версии 1.7.10
Моды для версии 1.7.2
Моды ",non-nsfw,0.76,non-toxic,0.84
record42.txt,"UL Seeks Extras For Commercial Shoot
Hot 107-9
Listen Now
Home
On Air
ALL DJs
Schedule
Morning Buzz With Chris and Digital
Emily J
Dave Steel
DJ Grooves
R Dub
Listen
Listen Live
Listen on Alexa Devices
Introducing: The HOT 107.9 Mobile App
Playlist
Recently Played
Music
Events
Full Calendar
Submit a",non-nsfw,1.0,non-toxic,1.0
record43.txt,"Gucci Mane Changing His Name? — Tha Wire [VIDEO]
THE PEOPLE'S STATION
Listen Now
Home
On-Air
All DJs
Steve Harvey
Gina Cook
Erik Tee
Big Boy Chill
Cullen Washington
DJ Dolby D
Franyora
Breakfast Club
R Dub!
Schedule
Listen
Grab the 107 JAMZ App
Listen Live
Mobile
Playlist
Events
JAMZ MVPs
Sign Up
Co",non-nsfw,0.99,non-toxic,0.99
record41.txt,"Автобусный тур: Cмоленск - Катынь / Талашкино
О нас Статьи Партнерам Акции Оплата по ЕРИП
Консультации: с 9:00 до 18:00 пн.-пт.
Везет на отличные путешествия!
+375 29 399 80 80
+375 33 315 59 59
+375 29 390 88 89
+375 17 327 85 86
Календарь туров Автобусные туры
По странам:
Австрия
Беларусь
Бельгия
",non-nsfw,0.96,non-toxic,0.99
record40.txt,"Testimonials | 103 West
Features
To check availability and receive pricing information, please submit information below
Business
Occasion
Wedding
Interested In:
Breakfast
Lunch
Dinner
Cocktail Reception
Other
Number of Guests:
Event Date:
Day Day 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21",non-nsfw,1.0,non-toxic,1.0
record7.txt,"0255.e-spots.nl » Werkruimte / Opslag » Kantoorruimte - vraag en aanbod in de markt van vandaag -
welkom op 0255.e-spots.nl
www.e-spots.nl
Categorieën:
Agenda / Uitgaan (9)
Antiek (11)
Auto's / Motors (10)
Boeken (5)
CD / DVD / VHS (7)
Computers (11)
Dieren (13)
Electra / Apparaten (6)
Fietsen / Bro",non-nsfw,1.0,non-toxic,1.0
